input1	synset1ID	synset1Cat	synset1Class	synset1Hypernyms	input2	synset2ID	synset2Cat	synset2Class	synset2Hypernyms	SimplePath	LeacockAndChodorow	WuAndPalmer	Resnik	Lin	JiangAndConrath
einsam	2330.0	adj	Ort	[lokalisationsspezifisch]	hold	96585.0	adj	Verhalten	[gutgesinnt, wohlgesinnt, wohlgesonnen, wohlmeinend, wohlwollend]	0.6	0.2783	0.0	0.0	0.0	0.55322
einsam	2330.0	adj	Ort	[lokalisationsspezifisch]	hold	96331.0	adj	Gefuehl	[lieblich, liebreizend]	0.5	0.21239	0.0	0.0	0.0	0.53067
einsam	536.0	adj	Gefuehl	[freudlos, traurig]	hold	96585.0	adj	Verhalten	[gutgesinnt, wohlgesinnt, wohlgesonnen, wohlmeinend, wohlwollend]	0.55	0.2437	0.0	0.0	0.0	0.60917
einsam	536.0	adj	Gefuehl	[freudlos, traurig]	hold	96331.0	adj	Gefuehl	[lieblich, liebreizend]	0.55	0.2437	0.18182	0.15814	0.38255	0.74476
einsam	2330.0	adj	Ort	[lokalisationsspezifisch]	geheimnisvoll	822.0	adj	Gefuehl	[seltsam]	0.65	0.31699	0.0	0.0	0.0	0.60381
einsam	536.0	adj	Gefuehl	[freudlos, traurig]	geheimnisvoll	822.0	adj	Gefuehl	[seltsam]	0.7	0.36085	0.25	0.15814	0.4648	0.81791
einsam	2330.0	adj	Ort	[lokalisationsspezifisch]	scheu	4738.0	adj	Verhalten	[charakterspezifisch]	0.7	0.36085	0.0	0.0	0.0	0.59881
einsam	2330.0	adj	Ort	[lokalisationsspezifisch]	scheu	96734.0	adj	Verhalten	[tierspezifisch]	0.7	0.36085	0.0	0.0	0.0	0.53033
einsam	536.0	adj	Gefuehl	[freudlos, traurig]	scheu	4738.0	adj	Verhalten	[charakterspezifisch]	0.65	0.31699	0.0	0.0	0.0	0.65476
einsam	536.0	adj	Gefuehl	[freudlos, traurig]	scheu	96734.0	adj	Verhalten	[tierspezifisch]	0.65	0.31699	0.0	0.0	0.0	0.58629
einsam					f�rchterlich										
einsam					raub										
einsam	2330.0	adj	Ort	[lokalisationsspezifisch]	heimlich	1091.0	adj	Gesellschaft	[geheim, geheimgehalten, nicht öffentlich, nichtöffentlich]	0.65	0.31699	0.0	0.0	0.0	0.60282
einsam	536.0	adj	Gefuehl	[freudlos, traurig]	heimlich	1091.0	adj	Gesellschaft	[geheim, geheimgehalten, nicht öffentlich, nichtöffentlich]	0.6	0.2783	0.0	0.0	0.0	0.65878
einsam	2330.0	adj	Ort	[lokalisationsspezifisch]	eiskalt	108556.0	adj	Gefuehl	[fühllos, gefühllos, gefühlsarm, gefühlskalt]	0.65	0.31699	0.0	0.0	0.0	0.55609
einsam	2330.0	adj	Ort	[lokalisationsspezifisch]	eiskalt	4450.0	adj	Substanz	[kalt]	0.65	0.31699	0.0	0.0	0.0	0.55618
einsam	536.0	adj	Gefuehl	[freudlos, traurig]	eiskalt	108556.0	adj	Gefuehl	[fühllos, gefühllos, gefühlsarm, gefühlskalt]	0.8	0.47137	0.5	0.19055	0.49115	0.80259
einsam	536.0	adj	Gefuehl	[freudlos, traurig]	eiskalt	4450.0	adj	Substanz	[kalt]	0.6	0.2783	0.0	0.0	0.0	0.61213
einsam	2330.0	adj	Ort	[lokalisationsspezifisch]	schrecklich	107140.0	adj	Gefuehl	[unangenehm]	0.65	0.31699	0.0	0.0	0.0	0.56734
einsam	2330.0	adj	Ort	[lokalisationsspezifisch]	schrecklich	805.0	adj	Gefuehl	[schlimm] , [beängstigend]	0.6	0.2783	0.0	0.0	0.0	0.56736
einsam	536.0	adj	Gefuehl	[freudlos, traurig]	schrecklich	107140.0	adj	Gefuehl	[unangenehm]	0.7	0.36085	0.25	0.15814	0.4198	0.78144
einsam	536.0	adj	Gefuehl	[freudlos, traurig]	schrecklich	805.0	adj	Gefuehl	[schlimm] , [beängstigend]	0.65	0.31699	0.22222	0.15814	0.41981	0.78145
einsam	2330.0	adj	Ort	[lokalisationsspezifisch]	begierig	1806.0	adj	Gefuehl	[Gefühl empfindend]	0.7	0.36085	0.0	0.0	0.0	0.5664
einsam	536.0	adj	Gefuehl	[freudlos, traurig]	begierig	1806.0	adj	Gefuehl	[Gefühl empfindend]	0.85	0.54466	0.57143	0.19055	0.50457	0.8129
einsam	2330.0	adj	Ort	[lokalisationsspezifisch]	gedankenvoll	548.0	adj	Verhalten	[charakterspezifisch]	0.7	0.36085	0.0	0.0	0.0	0.55325
einsam	2330.0	adj	Ort	[lokalisationsspezifisch]	gedankenvoll	549.0	adj	Gefuehl	[deprimiert, elegisch, melancholisch, schwermütig]	0.6	0.2783	0.0	0.0	0.0	0.44792
einsam	536.0	adj	Gefuehl	[freudlos, traurig]	gedankenvoll	548.0	adj	Verhalten	[charakterspezifisch]	0.65	0.31699	0.0	0.0	0.0	0.6092
einsam	536.0	adj	Gefuehl	[freudlos, traurig]	gedankenvoll	549.0	adj	Gefuehl	[deprimiert, elegisch, melancholisch, schwermütig]	0.85	0.54466	0.66667	0.28806	0.58063	0.79194
einsam					b�s										
einsam	2330.0	adj	Ort	[lokalisationsspezifisch]	seltsam	367.0	adj	Allgemein	[sonderbar]	0.65	0.31699	0.0	0.0	0.0	0.60155
einsam	2330.0	adj	Ort	[lokalisationsspezifisch]	seltsam	650.0	adj	Gefuehl	[verwirrt]	0.65	0.31699	0.0	0.0	0.0	0.57566
einsam	2330.0	adj	Ort	[lokalisationsspezifisch]	seltsam	821.0	adj	Gefuehl	[Gefühl erweckend]	0.7	0.36085	0.0	0.0	0.0	0.61668
einsam	536.0	adj	Gefuehl	[freudlos, traurig]	seltsam	367.0	adj	Allgemein	[sonderbar]	0.6	0.2783	0.0	0.0	0.0	0.6575
einsam	536.0	adj	Gefuehl	[freudlos, traurig]	seltsam	650.0	adj	Gefuehl	[verwirrt]	0.8	0.47137	0.5	0.19055	0.51725	0.82217
