input1	synset1ID	synset1Cat	synset1Class	synset1Hypernyms	input2	synset2ID	synset2Cat	synset2Class	synset2Hypernyms	SimplePath	LeacockAndChodorow	WuAndPalmer	Resnik	Lin	JiangAndConrath
Bitte	30959.0	nomen	Kommunikation	[Wunsch]	Mord	20741.0	nomen	Geschehen	[Bluttat]	0.65714	0.28424	0.33333	0.07994	0.22151	0.71904
Bitte	30959.0	nomen	Kommunikation	[Wunsch]	Feind	34207.0	nomen	Mensch	[Gegner, Gegnerin, Kontrahent, Kontrahentin, Opponent, Opponentin]	0.48571	0.17834	0.1	0.02941	0.08022	0.66274
Bitte					Erf�llung										
Bitte					Gewi�heit										
Bitte	30959.0	nomen	Kommunikation	[Wunsch]	Wache	19834.0	nomen	Geschehen	[Dienst]	0.68571	0.30657	0.35294	0.07994	0.19911	0.67843
Bitte	30959.0	nomen	Kommunikation	[Wunsch]	Wache	22642.0	nomen	Gruppe	[Sicherheitsdienst, Sicherheitstruppe]	0.54286	0.20938	0.11111	0.02941	0.07157	0.61843
Bitte	30959.0	nomen	Kommunikation	[Wunsch]	Wache	37257.0	nomen	Mensch	[Dienstleister Sonstige]	0.42857	0.15041	0.09091	0.02941	0.0781	0.65282
Bitte	30959.0	nomen	Kommunikation	[Wunsch]	Wache	9430.0	nomen	Artefakt	[Amtsgebäude] , [Gendarmerie, Polizei, Polizeibehörde]	0.54286	0.20938	0.11111	0.02941	0.07552	0.63996
Bitte	30959.0	nomen	Kommunikation	[Wunsch]	Sage	32960.0	nomen	Kommunikation	[Erzählung]	0.48571	0.17834	0.1	0.06249	0.14742	0.63858
Bitte	30959.0	nomen	Kommunikation	[Wunsch]	Blut	26339.0	nomen	Koerper	[Körperflüssigkeit]	0.62857	0.26356	0.13333	0.02941	0.08011	0.66226
Bitte	30959.0	nomen	Kommunikation	[Wunsch]	Eid	30829.0	nomen	Kommunikation	[Aussage]	0.62857	0.26356	0.13333	0.06249	0.19859	0.74781
